,url,fighter_name,nickname,birth_date,age,death_date,location,country,height,weight,association,weight_class,wins,wins_ko,wins_submission,wins_decision,wins_other,lossess,losses_ko,losses_submission,losses_decision,losses_other
0,/fighter/Kharun-Atlangeriev-167431,Kharun Atlangeriev,Predator,05/10/1992,28.0,,,Russia,"5'10""",155 lbs,OFS Team,Lightweight,11,5,5,1,,11,0,1,1,
1,/fighter/Shojin-Miki-157565,Shojin Miki,Mini Margarito,,,,"Honolulu, Hawaii",United States,"5'9""",125 lbs,HMC Academy,Flyweight,6,2,4,0,,6,2,0,5,
2,/fighter/Ryan-Keenan-33827,Ryan Keenan,Who Dat?,15/06/1985,36.0,,"Windermere, Florida",United States,"6'0""",155 lbs,Gracie Orlando,Lightweight,6,3,3,0,,6,1,1,0,
3,/fighter/Dustin-Jacoby-73825,Dustin Jacoby,The Hanyak,04/04/1988,33.0,,"Arenzville, Illinois",United States,"6'4""",205 lbs,Factory X,Light Heavyweight,14,9,1,4,,14,1,2,2,
4,/fighter/Richardson-Moreira-72825,Richardson Moreira,Rick Monstro,31/03/1984,37.0,,"Campinas, Sao Paulo",Brazil,"6'2""",205 lbs,Team Nogueira,Light Heavyweight,8,2,5,1,,8,1,1,3,
5,/fighter/Chris-Haseman-1449,Chris Haseman,The Hammer,02/06/1969,52.0,,,Australia,"5'11""",198 lbs,Rings Australia,Light Heavyweight,20,2,14,3,1.0,20,8,3,6,0.0
6,/fighter/Fares-Ziam-184241,Fares Ziam,Smile Killer,21/03/1997,24.0,,Lyon,France,"6'0""",155 lbs,Team Ezbiri,Lightweight,12,5,4,3,,12,0,2,1,
7,/fighter/James-Bochnovic-130011,James Bochnovic,,13/02/1989,32.0,,"Kenosha, Wisconsin",United States,"6'4""",185 lbs,Rothwell MMA,Middleweight,10,1,9,0,,10,2,2,1,
8,/fighter/Adrian-Pang-8427,Adrian Pang,The Hunter,02/09/1977,43.0,,"Kokopo, East New Britain",Papua New Guinea,"5'7""",155 lbs,Integrated MMA,Lightweight,23,6,10,7,,23,3,1,9,
9,/fighter/Haobin-Ma-214849,Haobin Ma,The Southern Eagle,23/01/1994,27.0,,,China,"0'0""",125 lbs,Jincan Defense Club,Flyweight,13,3,5,5,,13,2,1,5,
10,/fighter/Lance-Everson-10333,Lance Everson,,,,,"Mansfield, Massachusetts",United States,"5'9""",185 lbs,Boneyard,Middleweight,11,6,1,4,,11,2,6,1,
11,/fighter/Journey-Newson-77464,Journey Newson,,07/03/1989,32.0,,"Beaverton, Oregon",United States,"5'5""",135 lbs,Impact Jiu Jitsu,Bantamweight,9,3,3,3,,9,2,0,1,
12,/fighter/Christian-Wellisch-3328,Christian Wellisch,,,,,"Los Angeles, California",United States,"6'2""",234 lbs,American Kickboxing Academy,Heavyweight,8,4,3,1,,8,3,1,1,
13,/fighter/Ryuichiro-Sumimura-56159,Ryuichiro Sumimura,,14/02/1986,35.0,,"Kobe, Hyogo",Japan,"5'11""",170 lbs,Independent,Welterweight,18,4,5,9,,18,1,1,5,
14,/fighter/Michael-Chiesa-46224,Michael Chiesa,Maverick,07/12/1987,33.0,,"Spokane, Washington",United States,"6'1""",170 lbs,Sikjitsu,Welterweight,18,0,11,7,,18,1,4,0,
15,/fighter/Klidson-Abreu-111535,Klidson Abreu,White Bear,24/12/1992,28.0,,"Manaus, Amazonas",Brazil,"6'2""",205 lbs,Evolucao Thai,Light Heavyweight,15,4,10,1,,15,3,0,2,
16,/fighter/John-Kolosci-9062,John Kolosci,,26/11/1974,46.0,,"Portage, Indiana",United States,"5'11""",155 lbs,Gilbert Grappling,Lightweight,15,3,5,7,,15,2,5,2,
17,/fighter/Giorgio-Pietrini-117093,Giorgio Pietrini,,23/06/1991,30.0,,Livorno,Italy,"6'0""",170 lbs,Rendoki Dojo,Welterweight,16,8,4,4,,16,0,2,3,
18,/fighter/Sidemar-Honorio-20757,Sidemar Honorio,Sideco Honor,05/05/1980,41.0,,"Rio de Janeiro, Rio de Janeiro",Brazil,"5'7""",126 lbs,Renzo Gracie Philly,Flyweight,13,3,3,7,,13,1,1,5,
